"","品　　　名","分別区分","備　　　考"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","着物","古紙・古着",""
"","","","帯は[燃やせるごみ]"
"","脚立","粗大ごみ","指定袋に入るものは[燃やせないごみ]"
"","キャップ（プラスチック製）","燃やせないごみ",""
"","キャップ（金属製）","ビン・カン",""
"","キャビネット","粗大ごみ",""
"","キャンドルスタンド","燃やせないごみ",""
"","きゅうす","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","給湯器","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","牛乳ビンのふたの包装材","燃やせるごみ","紙のふたは[古紙・古着]"
"き","","",""
"","","","[古紙・古着]でも可"
"","牛乳パック","拠点回収",""
"","","","拠点回収の詳細はこちら"
"","教科書","古紙・古着","個人情報の取り扱いに注意してください"
"","鏡台（化粧台）","粗大ごみ",""
"","霧吹き","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","キルティング（洋服）","古紙・古着",""
"","","","汚れているものやキルティングの生地は[燃やせるごみ]"
"","銀紙","燃やせるごみ",""
"","金庫（耐火）","収集しません","販売店等に処理を依頼してください"
"","金庫（手提げ・金属製で重さ10kgまで）","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","空気入れ","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","空気清浄機","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","クーラーボックス","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","くぎ・ねじ","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","釘抜き","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","草","燃やせるごみ","45Lまでの透明・半透明の袋で1回に最大90L相当まで"
"","","","ガムテープなどで刃の部分を保護してください"
"","草刈り鎌","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","金属製のものは単体で指定袋に入れてください（金属製のものは、"
"","くさり（金属製・プラスチック製）","燃やせないごみ","他の燃やせないごみと袋を分けて出してください）"
"","","","金属製のものは「リサイクル広場」に無料で持込めます"
"","薬（家庭で使用したもの）","燃やせるごみ",""
"","薬（家庭で使用したもの）の容器（びん・缶製）","ビン・カン","中身は使い切り、汚れをとってください"
"","薬（家庭で使用したもの）の容器 （プラスチック製）","燃やせるごみ",""
"","くすり箱（木製）","燃やせるごみ",""
"く","","",""
"","果物（みかんなど）が入っている ネット","燃やせるごみ",""
"","果物（いちごなど）が入っている容器（プラスチック製）","燃やせるごみ",""
"","","","ガムテープなどで刃の部分を保護してください"
"","果物ナイフ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","口紅ケース（プラスチック製）","燃やせないごみ",""
"","靴","燃やせるごみ","安全靴・スパイクは[燃やせないごみ]"
"","靴型（シューズキーパー）","燃やせないごみ","木製のものは[燃やせるごみ]"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","靴下","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","","","[古紙・古着]には出さないでください"
"","クッション","燃やせるごみ","マイクロビース製のものは飛散防止のためレジ袋等に入れてから"
"","","","指定袋に入れてください"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","クッションカバー","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","靴墨の容器（ガラス・缶）","ビン・カン","中身は使い切り、汚れをとってください"
"","靴墨の容器（金属チューブ）","燃やせないごみ",""
"","靴墨の容器 （プラスチックチューブ）","燃やせるごみ",""
"","靴を購入したときに入っている詰め物（プラスチック製）","燃やせるごみ","固いプラスチック製のものは[燃やせないごみ]"
