"","品　　　名","分別区分","備　　　考"
"","えんぴつの外箱（紙製）","古紙・古着",""
"","えんぴつの外箱（プラスチック製）","燃やせないごみ",""
"え","","",""
"","","","長さ140cm、直径15cm以下の場合は[燃やせないごみ]"
"","塩ビパイプ","燃やせないごみ",""
"","","","40Ｌの指定袋で出してください"
"","オアシス（生け花用）","燃やせないごみ",""
"","オイル","収集しません","販売店等に処理を依頼してください"
"","オイル缶","ビン・カン","家庭で使用したもののみ"
"","オイルヒーター","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","応接セット","粗大ごみ",""
"","オートバイ","収集しません","販売店等に処理を依頼してください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","オーブントースター","",""
"","","燃やせないごみ",""
"","オーブンレンジ","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","お菓子の缶","ビン・カン",""
"","お菓子の袋（プラスチック製）","燃やせるごみ",""
"","お酒の紙パック（裏が銀色）","燃やせるごみ","「リサイクル広場」に無料で持込めます"
"","おしぼり","燃やせるごみ",""
"","おしぼり置き（木製）","燃やせるごみ",""
"","オタマ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"お","","",""
"","落ち葉","燃やせるごみ","45Lまでの透明・半透明の袋で1回に最大90L相当まで"
"","お茶漬け（インスタント）の袋（プラスチック製）","燃やせるごみ",""
"","お手拭きの包装フィルム","燃やせるごみ",""
"","おでんの容器（プラスチック製）","燃やせるごみ",""
"","帯 お","燃やせるごみ","[古紙・古着]には出さないでください"
"","盆（木製）","燃やせるごみ",""
"","お盆（木製以外）","燃やせないごみ",""
"","おむつ","燃やせるごみ","無料のおむつ専用袋を利用できます"
"","おむつカバー","燃やせるごみ","[古紙・古着]には出さないでください"
"","","","木製は[燃やせるごみ]"
"","","","電池式のものは小型家電回収ボックス（30cm×15cmの投入口に"
"","おもちゃ","燃やせないごみ",""
"","","","入るもの）に入れることができます"
"","","","小型家電回収ボックスの詳細はこちら"
"","オルガン","粗大ごみ",""
"","温度計（アルコール温度計含む）","燃やせないごみ",""
"","","","石油は抜いてください"
"","温風ヒーター・ファンヒーター","粗大ごみ",""
"","","","指定袋に入る大きさのものは[燃やせないごみ]"
"","カーテン（レース）","燃やせるごみ",""
"","","","吊り下げ具は取ってください"
"","カーテン（レース除く）","古紙・古着","雨の日や雨の降りそうな日は出さないでください"
"","","","汚れているものは[燃やせるごみ]"
"","","","40Lの指定袋に入れてください"
"","カーテンレール","燃やせないごみ","「リサイクル広場」に無料で持込めます。ただし、直径15㎝、"
"","","","長さ140cmを超えるものは[粗大ごみ]"
"","カード（紙製）","古紙・古着","コーティングのあるものは[燃やせるごみ]"
"","カード（プラスチック製）","燃やせるごみ",""
"か","カードケース","燃やせないごみ",""
"","ガーゼ","燃やせるごみ",""
"","カーボン紙","燃やせるごみ","[古紙・古着]には出さないでください"
"","カーペット","粗大ごみ","60cm以下に切れば[燃やせるごみ]"
"","貝殻（貝類）","燃やせるごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","懐中電灯","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
