"","品　　　名","分別区分","備　　　考"
"","耐火金庫","収集しません","販売店等に処理を依頼してください"
"","","","ガムテープなどで刃の部分を保護してください"
"","大工用品（家庭用）","燃やせないごみ",""
"","","","金属製のものは「リサイクル広場」に無料で持込めます"
"","体重計（アナログ式）","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[ 有害ごみ]"
"","体重計（デジタル式）","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"","タイヤ（自転車用）","燃やせるごみ",""
"","タイヤ（自動車・バイク用）","収集しません","販売店等に処理を依頼してください"
"","","","販売店等に処理を依頼してください"
"","タイヤホイール（自動車・バイク用）","収集しません","自転車のタイヤホイールは、指定袋に入る大きさのものは"
"","","","[燃やせないごみ]、指定袋に入らないものは[粗大ごみ]"
"","太陽熱温水器","粗大ごみ",""
"","タイル","燃やせないごみ","1回に5Lの指定袋で1袋まで　持込みは1日に30kgまで"
"","ダウンジャケット・ダウンベスト","","雨の日や雨の降りそうな日は出さないでください"
"","","古紙・古着",""
"","（フェイク製、フェザー製、中綿製含む）","","汚れているものは[燃やせるごみ]"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","タオル・タオルケット","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","タオル掛け（金属製、プラスチック製）","燃やせないごみ",""
"","タオル掛け（木製）","燃やせるごみ",""
"","竹串","燃やせるごみ","小さく折ってください"
"","竹ぼうき","燃やせないごみ","40Lの指定袋に入れてください"
"","","燃やせるごみ",""
"","凧 畳 脱","粗大ごみ","1日に6枚まで"
"た","","",""
"","臭剤の容器","燃やせないごみ",""
"","タッパー（食品保存容器）","燃やせないごみ",""
"","建具（戸・障子・ふすま）","粗大ごみ",""
"","棚 た","粗大ごみ",""
"","ばこの紙箱","燃やせるごみ",""
"","たばこの包装フィルム","燃やせるごみ",""
"","タブレット菓子のケース（プラスチック製）","燃やせないごみ",""
"","卵パック（紙）","古紙・古着",""
"","卵パック（プラスチック製）","燃やせるごみ",""
"","","","指定袋に入らないものは[粗大ごみ]"
"","たらい（木製）","燃やせるごみ",""
"","","","金属製のものは「リサイクル広場」に無料で持込めます"
"","たらい（金属製、プラスチック製）","燃やせないごみ",""
"","樽（木製）","燃やせるごみ","指定袋に入らないものは[粗大ごみ]"
"","樽（プラスチック製）","燃やせないごみ",""
"","たわし","燃やせないごみ",""
"","","","中身は使い切ってください"
"","","","[燃やせないごみ]には出さないでください"
"","炭酸カートリッジ","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・"
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は［有害ごみ］"
"","タンス","粗大ごみ",""
"","","","単体で指定袋に入れてください"
"","","","他の燃やせないごみと袋を分けて出してください"
"","ダンベル","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","10㎏を超えるものは［粗大ごみ］"
"","ダンボール","古紙・古着",""
"","","","単体で指定袋に入れてください"
"","チェーン（自動車用）（金属製）","燃やせないごみ","他の燃やせないごみと袋を分けて出してください"
"","","","「リサイクル広場」に無料で持込めます"
"","チェーン（自動車用）（プラスチック製）","燃やせないごみ",""
"ち","","",""
"","チャイルドシート","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","茶碗","燃やせないごみ","陶器製のものは「リサイクル広場」に無料で持込めます"
"","","","「使用済み注射針回収薬局」の看板を掲げている薬局に処分を依頼"
"","注射針","収集しません",""
"","","","してください
在宅医療廃棄物の出し方"
