"","品　　　名","分別区分","備　　　考"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","セーター","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","石油ポンプ（給油ポンプ）","燃やせないごみ","電動式のものは電池を抜いてください。電池は[ 有害ごみ]"
"","石鹸","燃やせるごみ",""
"","石膏","燃やせないごみ",""
"","せともの・陶器","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","セメント","燃やせないごみ","1回に5Lの指定袋で1袋まで"
"","セロハン紙","燃やせるごみ",""
"","セロハンテープの紙芯","古紙・古着","刃は取ってください。刃は[燃やせないごみ]"
"","セロハンテープの外包装 （プラスチック製）","燃やせるごみ",""
"","洗顔フォームの容器 （プラスチック製）","燃やせるごみ","硬いプラスチック製のものは[燃やせないごみ]"
"","線香","燃やせるごみ",""
"","洗剤・洗浄剤の容器（プラスチック）","燃やせないごみ",""
"","洗剤・洗浄剤の容器（紙箱）","燃やせるごみ",""
"せ","","",""
"","扇子","燃やせるごみ",""
"","洗濯板（木製）","燃やせるごみ",""
"","洗濯板（プラスチック製）","燃やせないごみ",""
"","","","家電リサイクル法対象品"
"","洗濯機","収集しません",""
"","","","販売店等に処理を依頼してください"
"","","","家電リサイクル法対象品"
"","洗濯乾燥機","収集しません",""
"","","","販売店等に処理を依頼してください"
"","洗濯ばさみ","燃やせないごみ",""
"","剪定くず","燃やせるごみ","45Lまでの透明・半透明の袋で1回に最大90L相当まで"
"","剪定枝","剪定枝","剪定枝の出し方/町田市HPをご覧ください"
"",扇風機,"粗大ごみ",指定袋に入る大きさのものは[燃やせないごみ]
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","バッテリーは外してください。バッテリーは[有害ごみ]"
"","扇風機（充電式）","","小型家電回収ボックスの詳細はこちら"
"","","有害ごみ",""
"","洗面器","燃やせないごみ",""
"","造花","燃やせないごみ","針金がなければ[燃やせるごみ]"
"","双眼鏡","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","ぞうきん（未使用）","古紙・古着",""
"","","","使用したもの、汚れているものは[燃やせるごみ]"
"","そう菜の容器（アルミ製）","燃やせないごみ",""
"","そう菜の容器（プラスチック製）・ラップ","燃やせるごみ",""
"","","","柄がはみ出す場合は、40Lの指定袋に入れてください"
"","掃除機","燃やせないごみ",""
"","","","指定袋に入らないものは[粗大ごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","バッテリーは外してください。バッテリーは[有害ごみ]"
"そ","掃除機（充電式）","","小型家電回収ボックスの詳細はこちら"
"","","有害ごみ","バッテリー内蔵の小型掃除機は[有害ごみ]"
"","草履","燃やせるごみ",""
"","ソースのプラスチック容器","燃やせるごみ",""
"","ソーセージの包装フィルム","燃やせるごみ",""
"","ソーセージの包装袋","燃やせるごみ",""
"","ソファー","粗大ごみ",""
"","そり（プラスチック製）","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","そろばん","燃やせるごみ",""
"","体温計（水銀体温計）","有害ごみ","割れた水銀体温計は透明・半透明の袋に入れて出してください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","電池は抜いてください。電池は[ 有害ごみ]"
"た","","拠点回収","小型家電回収ボックスの詳細はこちら"
"","体温計（デジタル体温計）","","または回収協力店へお出しください。協力店は一般社団法人電池工"
"","","","業会のホームページで確認できます"
