"","品　　　名","分別区分","備　　　考"
"","画びょう","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","かびん","燃やせないごみ","陶磁器、ガラス製のものは「リサイクル広場」に無料で持込めます"
"","壁紙","燃やせないごみ","60cm以下に切れば[燃やせるごみ]"
"","","","ガムテープなどで刃の部分を保護してください"
"","鎌","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","汚物はトイレに流してください"
"","紙おむつ","燃やせるごみ",""
"","","","無料のおむつ専用袋を利用できます"
"","紙コップ・紙皿","燃やせるごみ",""
"","","","ガムテープなどで刃の部分を保護してください"
"","カミソリ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","紙ねんど","燃やせるごみ",""
"","髪の毛","燃やせるごみ",""
"","紙箱","古紙・古着",""
"","紙パック","古紙・古着","500ml以上のものは[拠点回収]も行っています"
"","紙やすり","燃やせるごみ",""
"","ガムテープ","燃やせるごみ",""
"","","","電池式のもので小型家電回収ボックス（30cm×15cm）の"
"","","","投入口に入るもの"
"","","拠点回収",""
"","","","電池は抜いてください。電池は[有害ごみ]"
"","カメラ","",""
"","","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"か","","",""
"","画用紙","古紙・古着","使用済みのものも可"
"","カラーボックス","粗大ごみ","指定袋に入る大きさのものは[燃やせるごみ]"
"","からしのチューブ","燃やせるごみ",""
"","ガラス","燃やせないごみ","割れたガラスは紙や布に包んで、指定袋に入れてください"
"","カレールーのプラスチック容器","燃やせるごみ",""
"","カレンダー","古紙・古着","金属やプラスチックの留め具は取り外してください"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","革製衣類","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","瓦 換","燃やせないごみ","1回に5Lの指定袋で1袋まで"
"","気扇","燃やせないごみ",""
"","換気扇のフィルター","燃やせるごみ",""
"","換気扇のフィルター（硬い枠つき）","燃やせないごみ",""
"","緩衝材（プラスチック製）","燃やせるごみ",""
"","","","家電リサイクル法対象品"
"","乾燥機（衣類）","収集しません",""
"","","","販売店等に処理を依頼してください"
"","乾燥剤","燃やせるごみ",""
"","缶","ビン・カン","中身は使い切り、汚れをとってください"
"","乾電池","有害ごみ",""
"","感熱紙","燃やせるごみ","[古紙・古着]には出さないでください"
"","キー（鍵）","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","キーボード（音楽用）","粗大ごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","キーボード（パソコン用）","",""
"","","燃やせないごみ",""
"","キーボックス","燃やせないごみ",""
"","キーホルダー","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"き","","",""
"","木くず","燃やせるごみ",""
"","ギター","粗大ごみ","指定袋に入るものは[燃やせないごみ]"
"","ギターのハードケース","粗大ごみ",""
"","キッチンマット（すべり止め付き）","燃やせるごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","キッチンマット（布製）","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","気泡緩衝材","燃やせるごみ",""
