"","品　　　名","分別区分","備　　　考"
"","ペットのえさ缶","ビン・カン","中をすすいでから出してください"
"","ペットのトイレ砂","燃やせるごみ",""
"","ペットのフン・動物のフン","燃やせるごみ",""
"","","","60㎝以下に切ってください"
"","ベッドパッド","燃やせるごみ",""
"","","","指定袋に入らないものは［粗大ごみ］"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ヘッドホンステレオ","",""
"","","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ヘッドホンステレオ（充電式）","",""
"","","有害ごみ",""
"","","","ラムネのペットボトルは、中のビー球を抜いて出してください"
"","ペットボトル（飲料・しょう油・酒用・みりん風調味料・","",""
"","","","（ビー玉は[燃やせないごみ]へ）"
"","食酢・調味酢・しょうゆ加工品・ドレッシングタイプ調味","ペットボトル",""
"","","","拠点回収も行っています"
"","料・ウォーターサーバーのペットボトル）","",""
"","","","拠点回収の詳細はこちら"
"へ","","",""
"","ペットボトルのキャップ・ラベル","燃やせるごみ","ペットボトルのキャップは「リサイクル広場」に無料で持込めます"
"","ベニヤ板","燃やせるごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","ベビーカー（乳母車）","粗大ごみ",""
"","ベビー浴槽","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","1～12番地区","燃やせるごみ","金属のバックルは外してください　バックルは[燃やせないごみ]"
"","ベルト","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","ヘルメット","燃やせないごみ",""
"","ペンキの缶","ビン・カン","中身は使い切り、汚れをとってください"
"","便座カバー","燃やせるごみ","[古紙・古着]には出さないでください"
"","弁当箱（金属製、プラスチック製）","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","弁当箱（木製）","燃やせるごみ",""
"","弁当容器（コンビニ等の弁当容器）","燃やせるごみ",""
"","ほうき","燃やせないごみ","40Lの指定袋に入れてください"
"","芳香剤の容器","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","帽子","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","包装材（プラスチック製）","燃やせるごみ",""
"","包装紙","古紙・古着",""
"","包帯","燃やせるごみ","[古紙・古着]には出さないでください"
"","","","ガムテープなどで刃の部分を保護してください"
"","包丁","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","1回に5Lの指定袋で1袋まで"
"","防犯砂利","燃やせないごみ",""
"","","","持込みは1日に30kgまで"
"","ボウリングの球","収集しません","販売店・ボウリング場に処理を依頼してください"
"","ポーション（ガムシロップ等のプラスチック容器）","燃やせるごみ",""
"","1～12番地区","燃やせるごみ","60cm以下に切ってください（例）ガス管などのゴム製"
"ほ","","",""
"","ホース（ゴム製）","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","ホース（プラスチック製）","燃やせないごみ","60cm以下に切ってください"
"","ホースリール","燃やせないごみ",""
"","1～12番地区","燃やせるごみ","ゴルフボールは[燃やせないごみ]"
"","ボール（球技用）","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","ボールペン","燃やせないごみ",""
"","ホーロー容器","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","墨汁の容器（プラスチック製）","燃やせないごみ",""
"","木刀","燃やせないごみ","40Lの指定袋に入れてください"
"","歩行器","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","ポスター","古紙・古着",""
"","ボタン","燃やせないごみ",""
