"","品　　　名","分別区分","備　　　考"
"","レーザーディスク・レコード","燃やせないごみ",""
"","レーザーディスク・レコードのジャケット","古紙・古着",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","レーザーディスク・レコードプレーヤー","",""
"","","燃やせないごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","レシート（感熱紙）","燃やせるごみ","普通紙は[古紙・古着]"
"","レジ袋（プラスチック）","燃やせるごみ",""
"れ","レジャーシート","燃やせるごみ","60cm以下に切ってください"
"","レトルトパック","燃やせるごみ",""
"","レンジ台","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","レンジパネル","燃やせないごみ",""
"","","","1回に5Lの指定袋で1袋まで"
"","レンガ","燃やせないごみ",""
"","","","持込みは１日30kgまで"
"","レンズ","燃やせないごみ",""
"","練炭","燃やせるごみ",""
"","ローションの容器（プラスチック製）","燃やせるごみ",""
"","","","60cm以下に切ってください"
"","ロープ","燃やせるごみ",""
"","","","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"ろ","","",""
"","ローラーブレード（スケート）","燃やせないごみ",""
"","ろうそく","燃やせるごみ",""
"","ロッカー","粗大ごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","ワープロ","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","ワイシャツ","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","ワイシャツの外包装、プラスチック製のクリップ、えりのキーパー","燃やせるごみ",""
"","","","家電リサイクル法対象品"
"","ワインセラー","収集しません",""
"わ","","","販売店等に処理を依頼してください"
"","わさびのチューブ","燃やせるごみ",""
"","和紙","燃やせるごみ",""
"","綿入れの服（はんてん、羽織など）","燃やせるごみ",""
"","わりばし","燃やせるごみ",""
"","わりばしの袋（紙製）","古紙・古着",""
"","わりばしの袋（プラスチック製）","燃やせるごみ",""
