"","品　　　名","分別区分","備　　　考"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","懐中電灯（充電式）","",""
"","","有害ごみ",""
"","カイロ（使い捨て）","燃やせるごみ",""
"","カイロの外包装（プラスチック製）","燃やせるごみ",""
"","","","販売店等に処理を依頼してください"
"","化学薬品","収集しません",""
"","","","不明な場合は、循環型施設管理課へお問い合わせください"
"","鏡 家","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","具","粗大ごみ",""
"","角材（直径10cm以下）","燃やせるごみ","指定袋に入る大きさのもの"
"","","","直径15cm、長さ140cm以内に切って、40Lの指定袋に"
"","角材（直径10cm超～15cm）","燃やせないごみ",""
"","","","入れてください"
"","額縁（木製）","燃やせるごみ","指定袋に入らないものは[粗大ごみ]"
"","額縁（木製以外）","燃やせないごみ",""
"","","","40Lの指定袋に入れてください"
"","傘","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","菓子の袋（紙製）","古紙・古着",""
"","菓子の袋（プラスチック製）","燃やせるごみ","ポテトチップスなどの銀色の袋も含む"
"","菓子の銀紙","燃やせるごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","加湿器","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","","","電池は抜いてください。電池は［有害ごみ］"
"","ガス給湯器・湯沸器","燃やせないごみ",""
"","","","指定袋に入らないものは[粗大ごみ]"
"","ガスコンロ","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","ガスボンベ（プロパン）","収集しません","販売店等に処理を依頼してください"
"","","","電池は抜いてください。電池は[有害ごみ]"
"","ガスレンジ","粗大ごみ",""
"","","","指定袋に入る大きさのものは[燃やせないごみ]"
"か","","",""
"","果実酒を漬けるびん","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","","","販売店等に処理を依頼してください"
"","苛性ソーダ","収集しません",""
"","","","不明な場合は、循環型施設管理課へお問い合わせください"
"","カセットコンロ","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","カセットテープ（ケース含む）","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","カセットデッキ","",""
"","","燃やせないごみ",""
"","","","中身は使い切ってください"
"","","","[燃やせないごみ]には出さないでください"
"","カセットガスボンベ","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・都営武蔵岡"
"","","","住宅・玉川学園と東玉川学園の一部）は[有害ごみ]"
"","ガソリン","収集しません","販売店等に処理を依頼してください"
"","","","ガムテープなどで刃の部分を保護してください"
"","カッターナイフ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","かっぱ","燃やせるごみ",""
"","カップ麺の容器・包装材・ふた （プラスチック製）","燃やせるごみ",""
"","カップ麺の容器・ふた（紙製）","燃やせるごみ",""
"","かつら","燃やせるごみ",""
"","蚊取り線香","燃やせるごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","蚊取り線香（電子蚊取）","",""
"","","燃やせないごみ",""
"","蚊取りマット","燃やせるごみ",""
"","1～12番地区","燃やせるごみ",""
"","カバン（革、布、","",""
"","軟らかいプラスチック製）","",""
"","13番（小山ヶ丘）地区","燃やせないごみ","革製のみ"
"","カバン（硬いプラスチック・金属製）","燃やせないごみ",""
"","画板","燃やせるごみ",""
