"","品　　　名","分別区分","備　　　考"
"","","","10kg以内で指定袋に入る大きさのものは[燃やせないごみ]"
"","湯沸かし器","粗大ごみ",""
"","","","電池は抜いてください。電池は[有害ごみ]"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","洋服","古紙・古着","名前や会社名入りの制服、スキーウェア（ズボン、つなぎのも"
"","","","の）、汚れているものなどは[燃やせるごみ]"
"","ヨーグルトのふた（プラスチック製）","燃やせるごみ",""
"よ","ヨーグルトの包装フィルム","燃やせるごみ",""
"","ヨーグルトの容器（紙製）","燃やせるごみ","「リサイクル広場」に無料で持込めます"
"","ヨーグルトの容器 （プラスチック製）","燃やせるごみ",""
"","","","60ｃｍ以下に切れば[燃やせるごみ]"
"","ヨガマット","燃やせないごみ",""
"","","","指定袋に入らない場合は[粗大ごみ]"
"","よしず","粗大ごみ","指定袋に入るものは[燃やせないごみ]"
"","ライター（棒状のライター含む）","有害ごみ","中身は使い切ってください"
"","ライター用オイルの缶","ビン・カン","中身は使い切り、汚れをとってください"
"","","","中身は使い切ってください"
"","","","［燃やせないごみ］には出さないでください"
"","ライター用ガスボンベ","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・"
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は[有害ごみ]"
"","ラケット","燃やせないごみ","40Lの指定袋に入れてください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","ラジオ","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","ラジカセ","","小型家電回収ボックスの詳細はこちら"
"ら","","",""
"","","燃やせないごみ","電池は抜いて[有害ごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","ラジコン","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","ラップ","燃やせるごみ",""
"","ラップの紙芯","古紙・古着",""
"","ラティス","粗大ごみ",""
"","ラミネートチューブ","燃やせるごみ",""
"","1～12番地区","燃やせるごみ",""
"","ランドセル","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","ランドセルカバー","燃やせるごみ",""
"","リール","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","リボン","燃やせるごみ",""
"","リチウムイオン電池","有害ごみ","ビニールテープで絶縁して[有害ごみ]　膨張など破損した電池も可"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","リモコン","","小型家電回収ボックスの詳細はこちら"
"り","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"","リヤカー","粗大ごみ",""
"","リュックサック","燃やせるごみ",""
"","料理くず","燃やせるごみ",""
"","旅行カバン","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","りんご箱（木製）","燃やせるごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","電池は抜いて［有害ごみ］
小型家電回収ボックスの詳細はこちら"
"","ルーター","",""
"","","燃やせないごみ",""
"る","","",""
"","ルーペ","燃やせないごみ",""
"","ルームランナー","粗大ごみ",""
"","","","家電リサイクル法対象品"
"","冷蔵庫","収集しません",""
"","","","販売店等に処理を依頼してください"
"れ","","",""
"","","","家電リサイクル法対象品"
"","冷凍庫","収集しません",""
"","","","販売店等に処理を依頼してください"
