"","品　　　名","分別区分","備　　　考"
"","クリアファイル","燃やせるごみ",""
"","クリーニングの袋","燃やせるごみ",""
"","クリスマスツリー","燃やせるごみ","指定袋に入らないものは[粗大ごみ]"
"","クリップ","燃やせないごみ","「リサイクル広場」に無料で持ち込めます"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","グリル鍋","",""
"","","燃やせないごみ",""
"く","","",""
"","","","電動のものは、バッテリーを外して出してください"
"","車椅子","粗大ごみ",""
"","","","バッテリーは販売店等へ処理を依頼、または［有害ごみ］"
"","クレヨン","燃やせるごみ",""
"","クレヨンケース（プラスチック製）","燃やせるごみ","固いプラスチック製のものは[燃やせないごみ]"
"","グローブ（野球用）","燃やせるごみ",""
"","","","指定袋40Lで出してください"
"","くわ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","割れた蛍光管・蛍光球は、透明・半透明の袋に入れて出してくださ"
"","蛍光管・蛍光球","有害ごみ",""
"","","","い 白
熱電球、ＬＥＤ電球・ＬＥＤ蛍光管は[燃やせないごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","計算機（電卓）","",""
"","","燃やせないごみ",""
"","珪藻土バスマット","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","携帯電話","",""
"","","有害ごみ",""
"","毛糸","燃やせるごみ","セーターは[古紙・古着]"
"","軽油","収集しません","販売店等に処理を依頼してください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ゲーム機（本体・ソフト・アダプター）","",""
"","","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ゲーム機（充電式）","",""
"","","有害ごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","毛皮","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","化粧スプレーの容器（プラスチック製）","燃やせないごみ",""
"","化粧品の容器（プラスチック製）","燃やせないごみ",""
"け","","",""
"","化粧品の容器のふた（プラスチック製）","燃やせないごみ",""
"","","","中身は使い切り、汚れをとってください"
"","化粧品の容器（ビン・カン）","ビン・カン",""
"","","","乳白色のビンは[燃やせないごみ]"
"","","","中身は使い切ってください"
"","","","[燃やせないごみ]には出さないでください"
"","化粧品の容器（スプレー缶）","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・"
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は［有害ごみ］"
"","化粧用コットン","燃やせるごみ",""
"","げた箱","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","ケチャップのプラスチック容器","燃やせるごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","小型家電回収ボックスの詳細はこちら"
"","血圧計","","水
銀血圧計は[有害ごみ]"
"","","燃やせないごみ","水銀血圧計は[有害ごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","血圧計（充電式）","",""
"","","有害ごみ",""
"","玄関の外マット","燃やせないごみ",""
"","建築・建設廃材","収集しません","廃棄物処理業者に処理を依頼してください"
"","剣道防具","燃やせないごみ",""
"","鍵盤ハーモニカ","燃やせないごみ",""
"","顕微鏡","燃やせないごみ",""
